Fecha,Distancia(cm),Luz(0-1023)
2026-04-23 16:40:11,49,12
2026-04-23 16:40:11,22,17
2026-04-23 16:40:12,66,30
2026-04-23 16:40:12,22,17
2026-04-23 16:40:13,35,27
2026-04-23 16:40:13,49,27
2026-04-23 16:40:14,101,48
2026-04-23 16:40:14,44,12
2026-04-23 16:40:15,4,22
2026-04-23 16:40:15,4,12
2026-04-23 16:40:16,4,12
2026-04-23 16:40:16,6,12
2026-04-23 16:40:17,72,30
2026-04-23 16:40:17,85,28
2026-04-23 16:40:18,41,12
2026-04-23 16:40:18,45,25
2026-04-23 16:40:19,22,17
2026-04-23 16:40:19,21,17
2026-04-23 16:40:20,3,12
2026-04-23 16:40:20,3,12
2026-04-23 16:40:21,3,12
2026-04-23 16:40:21,3,12
2026-04-23 16:40:22,4,12
2026-04-23 16:40:22,22,14
2026-04-23 16:40:23,20,20
2026-04-23 16:40:23,39,14
2026-04-23 16:40:24,33,14
2026-04-23 16:40:24,47,32
2026-04-23 16:40:25,23,19
2026-04-23 16:40:25,107,49
2026-04-23 16:40:26,62,37
2026-04-23 16:40:26,129,78
2026-04-23 16:40:27,119,61
2026-04-23 16:40:27,73,33
2026-04-23 16:40:28,70,38
2026-04-23 16:40:28,32,22
2026-04-23 16:40:29,30,14
2026-04-23 16:40:29,69,52
2026-04-23 16:40:30,31,13
2026-04-23 16:40:30,182,80
2026-04-23 16:40:31,26,19
2026-04-23 16:40:31,124,70
2026-04-23 16:40:32,182,108
2026-04-23 16:40:32,183,117
2026-04-23 16:40:33,45,44
2026-04-23 16:40:33,29,19
2026-04-23 16:40:34,32,14
2026-04-23 16:40:34,33,13
2026-04-23 16:40:35,52,20
2026-04-23 16:40:35,102,69
2026-04-23 16:40:36,34,19
2026-04-23 16:40:36,70,33
2026-04-23 16:40:37,44,14
2026-04-23 16:40:37,129,86
2026-04-23 16:40:38,42,13
2026-04-23 16:40:38,80,35
2026-04-23 16:40:39,183,104
2026-04-23 16:40:40,43,13
2026-04-23 16:40:40,83,28
